user_id,one_sentence
65,여행을 사랑하고 주말마다 놀러다니는 것을 좋아해요!
66,깔끔한 성격이라 같이 살면 방이 깔끔했으면 좋겠어요
67,함께 운동할 룸메이트를 찾고 있어요!
68,책읽기와 조용한 음악 듣는 것을 좋아해요
69,"게임과 영화를 좋아하는 대학생으로, 같이 취미를 공유할 수 있는 룸메를 찾아요!"
70,"야간에 활동하는 것을 선호하여, 낮에 조용히 지낼 수 있는 룸메이트를 찾습니다!"
71,맛집 탐방을 좋아해서 휴일에 같이 맛집 탐방갈 룸메이트 찾아요
72,서로의 공간을 존중해주는 룸메이트를 찾습니다
73,운동 좋아하는 사람과 룸메이트를 하고 싶습니다!
74,축구 좋아하는 사람 너무 좋아요
75,정리정돈을 잘하며 청결을 중요시하는 깔끔쟁이입니다
76,재밌는 사람 좋아해요!
77,헬스인과 룸메이트하고 싶습니다
78,옷 좋아하고 놀러다니는거 좋아해요
79,효율적인 기숙사 생활을 룸메이트와 명확한 규칙을 세우고 싶어요!
80,활발하고 취미부자입니다
81,사람들 만나는걸 좋아하고 룸메이트와 같이 놀러다니고 싶어요!
82,게임 좋아하고 운동 좋아합니다
83,활발하고 노는거 좋아하는 ESFJ입니다
84,사생활은 터치 안했으면 좋겠습니다
85,처음에는 낯가리지만 친해지면 말 많아요
86,옷 좋아하고 쇼핑하는 것도 좋아해요!
87,아침형이라서 야간에는 조용하신 분 찾습니다
88,카페 같이 갈 분 찾아요
89,항상 배려 깊고 재밌습니다!
90,같이 운동 다니실 분 찾습니다
91,독립적이고 조용히 있는 걸 좋아하는 편입니다.
92,룸메이트와 여러 이야기를 할 수 있길 원합니다.
93,청결을 중요시하여 정돈된 생활을 원합니다.
94,룸메이트와 재밌게 놀고 자유롭게 지내고 싶습니다.
95,각자 사생활 존중하며 지내고 싶습니다.
96,낯을 많이 가리지만 친해지면 같이 잘 지내고 싶습니다.
97,계획적이고 꼼꼼한 성격으로 청결하고 정돈된 생활을 하고 싶다.
98,새로운 사람 만나는 걸 좋아하고 친화력이 좋은 편입니다.
99,말이 별로 없는 편이고 조용합니다.
100,향에 예민한 편이기에 향수를 잘 안 뿌렸으면 좋겠습니다.
101,방에 타인이 들어오는 걸 별로 안 좋아하는 편입니다.
102,저는 방에 자주 있는 편입니다.
103,독립성이 강한 성격입니다.
104,수면시간이 비슷한 룸메이트였으면 좋겠습니다.
105,잠귀가 어두워서 잘 안 깨는 편입니다.
106,게임을 좋아하며 방에서도 게임을 자주 합니다.
107,방에 잘 안 들어오는 편입니다.
108,"무던한 성격으로, 룸메이트도 예민한 성격이 아니었으면 좋겠어요"
109,"책 읽기와 영화 감상을 특히 좋아하는 편으로, 같이 하면 좋겠어요"
110,"다양한 취미 생활에 관심 있으며, 같이 공유하고 싶어요."
111,잠버릇이 없는 룸메이트를 원합니다.
112,"조용한 편이고, 룸메이트도 말이 별로 없었으면 좋겠어요."
113,화장실을 깨끗하게 사용하는 룸메이트를 원합니다.
114,알람을 잘 듣고 바로 일어나는 룸메이트를 원해요.
115,기숙사에 늦게 들어가는 편입니다.
116,주기적으로 약속이 많은 편으로 자주 늦게 들어옵니다.
117,한국에 있는 역사 박물관도 자주 가는 편입니다.
118,본가가 가까운 편이어서 자주 본가에 갑니다.
119,패션과 옷에 관심이 많은 편이에요.
120,수면 시간이 최대한 비슷한 상대를 원합니다.
121,운동과 건강에 큰 관심이 있는 편이에요.
122,자신을 성장하기 위한 자기계발서를 자주 읽습니다.
123,영통에서 보드게임을 즐깁니다.
124,수업시간에 낮잠을 자주 잡니다.
125,주말에는 술마시고 흡연하는 걸 좋아합니다.
126,처음에는 조용한 편이지만 친해지면 말 많아요!
127,예카페 좋아하는 사람과 룸메이트 하고 싶어요
128,"다양한 음악 듣는 걸 좋아하고, 룸메이트와 취미 공유를 하고 싶어요."
129,노래방 게임 운동 다 좋아해요!
130,"청소를 주기적으로 자주 하는 편이고, 룸메이트도 깔끔했으면 좋겠어요."
131,제가 내향적이라서 외향적인 사람이랑 룸메이트 하고 싶어요!
132,주말이 되면 꼭 본가에 갑니다.
133,밤낮으로 유튜브를 보는 셩격이에요.
